fare_id,route_id,origin_id,destination_id,contains_id
1540,3378,,,
1540,3382,,,
1540,3383,,,
1540,3384,,,
1540,3385,,,
1540,3386,,,
1540,3387,,,
1540,3388,,,
1540,3389,,,
1540,3391,,,
1540,3392,,,
1540,3393,,,
1540,3395,,,
1540,3397,,,
1540,3406,,,
1540,6831,,,
1540,7122,,,
1541,3377,,,
1541,3379,,,
1541,3381,,,
1541,5797,1095,899,
1541,5797,899,1095,
1541,7120,,,
1541,7121,,,
1542,3394,,,
1542,3398,,,
1543,3399,,,
1543,3400,,,
1543,3401,,,
1543,3402,,,
1543,3403,,,
1543,3404,,,
1543,3405,,,
1545,7106,,,
1759,5136,,,
1759,5137,,,
1759,5138,,,
1759,7140,,,
