shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
34976,37.703338,-121.899972,1,0.0000
34976,37.703005,-121.899544,2,0.0530
34976,37.702456,-121.898786,3,0.1436
34976,37.702415,-121.898650,4,0.1566
34976,37.702402,-121.898533,5,0.1666
34976,37.702408,-121.898431,6,0.1757
34976,37.702423,-121.898329,7,0.1848
34976,37.702475,-121.898196,8,0.1973
34976,37.702536,-121.898113,9,0.2079
34976,37.702605,-121.898049,10,0.2173
34976,37.702655,-121.898005,11,0.2237
34976,37.702689,-121.897965,12,0.2294
34976,37.702740,-121.897947,13,0.2355
34976,37.703178,-121.897344,14,0.3077
34976,37.703238,-121.897282,15,0.3163
34976,37.703325,-121.897250,16,0.3267
34976,37.703526,-121.897206,17,0.3491
34976,37.703630,-121.897195,18,0.3611
34976,37.703744,-121.897190,19,0.3731
34976,37.703869,-121.897206,20,0.3871
34976,37.703961,-121.897223,21,0.3983
34976,37.704063,-121.897222,22,0.4093
34976,37.704131,-121.897222,23,0.4173
34976,37.704233,-121.897224,24,0.4283
34976,37.704333,-121.897225,25,0.4403
34976,37.704475,-121.897222,26,0.4553
34976,37.704805,-121.897216,27,0.4923
34976,37.705534,-121.897211,28,0.5743
34976,37.706109,-121.897206,29,0.6394
34976,37.706122,-121.897081,30,0.6504
34976,37.706170,-121.896783,31,0.6769
34976,37.706200,-121.896569,32,0.6953
34976,37.706220,-121.896368,33,0.7134
34976,37.706235,-121.896211,34,0.7266
34976,37.706249,-121.896049,35,0.7416
34976,37.706253,-121.895951,36,0.7497
34976,37.706256,-121.895851,37,0.7587
34976,37.706257,-121.895698,38,0.7717
34976,37.706250,-121.895018,39,0.8317
34976,37.706248,-121.894803,40,0.8497
34976,37.706243,-121.894284,41,0.8957
34976,37.706234,-121.893357,42,0.9767
34976,37.706234,-121.893278,43,0.9837
34976,37.706232,-121.893208,44,0.9897
34976,37.706234,-121.892646,45,1.0387
34976,37.706218,-121.891438,46,1.1437
34976,37.706208,-121.890598,47,1.2177
34976,37.706185,-121.889469,48,1.3157
34976,37.706184,-121.889223,49,1.3378
34976,37.706182,-121.889125,50,1.3458
34976,37.706174,-121.888561,51,1.3958
34976,37.706172,-121.888187,52,1.4278
34976,37.706169,-121.888048,53,1.4398
34976,37.706163,-121.887903,54,1.4528
34976,37.706255,-121.887903,55,1.4628
34976,37.706334,-121.887908,56,1.4718
34976,37.706742,-121.887904,57,1.5178
34976,37.707344,-121.887893,58,1.5858
34976,37.707416,-121.887894,59,1.5938
34976,37.708409,-121.887882,60,1.7048
34976,37.708610,-121.887880,61,1.7268
34976,37.708726,-121.887881,62,1.7398
34976,37.709648,-121.887881,63,1.8438
34976,37.710029,-121.887881,64,1.8858
34976,37.711002,-121.887881,65,1.9948
34976,37.711675,-121.887881,66,2.0708
34976,37.712226,-121.887869,67,2.1328
34976,37.712658,-121.887891,68,2.1808
34976,37.713800,-121.887903,69,2.3089
34976,37.713975,-121.887903,70,2.3289
34976,37.714704,-121.887889,71,2.4099
34976,37.714739,-121.887763,72,2.4216
34976,37.714784,-121.887671,73,2.4310
34976,37.714846,-121.887568,74,2.4424
34976,37.714918,-121.887499,75,2.4524
34976,37.714980,-121.887442,76,2.4610
34976,37.715051,-121.887408,77,2.4696
34976,37.715069,-121.887522,78,2.4798
34976,37.715123,-121.887763,79,2.5016
34976,37.715176,-121.887763,80,2.5076
34976,37.715239,-121.887797,81,2.5152
34976,37.715275,-121.887877,82,2.5233
34976,37.715275,-121.887980,83,2.5323
34976,37.715239,-121.888049,84,2.5395
34976,37.715203,-121.888106,85,2.5459
34976,37.715150,-121.888118,86,2.5520
34976,37.715087,-121.888095,87,2.5593
34976,37.715034,-121.888038,88,2.5671
34976,37.715007,-121.887957,89,2.5747
34976,37.715016,-121.887866,90,2.5827
34976,37.715043,-121.887797,91,2.5895
34976,37.715069,-121.887774,92,2.5931
34976,37.715123,-121.887763,93,2.5991
34976,37.715069,-121.887522,94,2.6210
34976,37.714998,-121.887568,95,2.6299
34976,37.714900,-121.887660,96,2.6435
34976,37.714828,-121.887763,97,2.6556
34976,37.714793,-121.887877,98,2.6663
34976,37.714775,-121.888061,99,2.6825
34976,37.714704,-121.888061,100,2.6905
34976,37.713975,-121.888061,101,2.7715
34976,37.713802,-121.888061,102,2.7915
34976,37.713800,-121.887903,103,2.8045
34976,37.712658,-121.887891,104,2.9325
34976,37.712681,-121.887871,105,2.9356
34976,37.713293,-121.887840,106,3.0037
34976,37.713689,-121.887830,107,3.0487
34976,37.713738,-121.887805,108,3.0541
34976,37.713798,-121.887725,109,3.0640
34976,37.713790,-121.886893,110,3.1370
34976,37.713756,-121.883425,111,3.4390
34976,37.713755,-121.883435,112,3.4390
34976,37.713907,-121.883423,113,3.4561
34976,37.713906,-121.883413,114,3.4561
34976,37.714467,-121.883404,115,3.5191
34976,37.714468,-121.883404,116,3.5191
34976,37.715889,-121.883418,117,3.6781
34976,37.715889,-121.883419,118,3.6781
34976,37.715901,-121.887185,119,4.0071
34976,37.715925,-121.889444,120,4.2041
34976,37.715927,-121.890150,121,4.2661
34976,37.715927,-121.890151,122,4.2661
34976,37.715994,-121.892538,123,4.4753
34976,37.716012,-121.892857,124,4.5023
34976,37.715749,-121.892994,125,4.5346
34976,37.715451,-121.893157,126,4.5709
34976,37.714028,-121.893126,127,4.7309
34976,37.713876,-121.893129,128,4.7479
34976,37.713881,-121.893010,129,4.7580
34976,37.713846,-121.890765,130,4.9540
34976,37.713802,-121.888061,131,5.1911
34976,37.712659,-121.888064,132,5.3191
34976,37.712139,-121.888066,133,5.3771
34976,37.711675,-121.888072,134,5.4291
34976,37.710232,-121.888095,135,5.5911
34976,37.710233,-121.888095,136,5.5911
34976,37.709645,-121.888095,137,5.6571
34976,37.708721,-121.888096,138,5.7601
34976,37.708610,-121.888097,139,5.7731
34976,37.708416,-121.888104,140,5.7941
34976,37.707400,-121.888124,141,5.9081
34976,37.707302,-121.888130,142,5.9191
34976,37.707120,-121.888221,143,5.9416
34976,37.707066,-121.888236,144,5.9477
34976,37.706976,-121.888251,145,5.9578
34976,37.706545,-121.888255,146,6.0058
34976,37.706491,-121.888258,147,6.0118
34976,37.706459,-121.888273,148,6.0159
34976,37.706428,-121.888302,149,6.0201
34976,37.706397,-121.888362,150,6.0265
34976,37.706376,-121.888439,151,6.0338
34976,37.706346,-121.888943,152,6.0779
34976,37.706354,-121.889066,153,6.0889
34976,37.706358,-121.889333,154,6.1119
34976,37.706363,-121.889511,155,6.1269
34976,37.706367,-121.889712,156,6.1450
34976,37.706379,-121.890344,157,6.2000
34976,37.706383,-121.890602,158,6.2230
34976,37.706398,-121.891801,159,6.3270
34976,37.706401,-121.892041,160,6.3480
34976,37.706404,-121.892206,161,6.3630
34976,37.706409,-121.892640,162,6.4010
34976,37.706414,-121.893191,163,6.4490
34976,37.706416,-121.893270,164,6.4560
34976,37.706418,-121.893351,165,6.4630
34976,37.706430,-121.894760,166,6.5860
34976,37.706437,-121.895160,167,6.6210
34976,37.706442,-121.895580,168,6.6571
34976,37.706438,-121.895852,169,6.6811
34976,37.706437,-121.895894,170,6.6851
34976,37.706429,-121.896085,171,6.7021
34976,37.706425,-121.896195,172,6.7111
34976,37.706407,-121.896398,173,6.7292
34976,37.706387,-121.896565,174,6.7434
34976,37.706366,-121.896725,175,6.7577
34976,37.706335,-121.896941,176,6.7769
34976,37.706313,-121.897085,177,6.7903
34976,37.706286,-121.897216,178,6.8017
34976,37.706059,-121.898403,179,6.9086
34976,37.706035,-121.898536,180,6.9210
34976,37.706009,-121.898703,181,6.9353
34976,37.706001,-121.898785,182,6.9424
34976,37.705986,-121.898957,183,6.9574
34976,37.705985,-121.898967,184,6.9584
34976,37.705971,-121.899235,185,6.9825
34976,37.705964,-121.899503,186,7.0055
34976,37.705958,-121.899784,187,7.0305
34976,37.705959,-121.899861,188,7.0366
34976,37.705961,-121.899952,189,7.0446
34976,37.705876,-121.899956,190,7.0547
34976,37.705784,-121.899958,191,7.0647
34976,37.705675,-121.899962,192,7.0767
34976,37.705156,-121.899944,193,7.1347
34976,37.704357,-121.899944,194,7.2247
34976,37.704163,-121.899957,195,7.2468
34976,37.704094,-121.899961,196,7.2538
34976,37.703647,-121.899963,197,7.3048
34976,37.703459,-121.899971,198,7.3258
34976,37.703338,-121.899972,199,7.3388
34976,37.703005,-121.899544,200,7.3919
34977,37.703338,-121.899972,1,0.0000
34977,37.703005,-121.899544,2,0.0530
34977,37.702456,-121.898786,3,0.1436
34977,37.702415,-121.898650,4,0.1566
34977,37.702402,-121.898533,5,0.1666
34977,37.702408,-121.898431,6,0.1757
34977,37.702423,-121.898329,7,0.1848
34977,37.702475,-121.898196,8,0.1973
34977,37.702536,-121.898113,9,0.2079
34977,37.702605,-121.898049,10,0.2173
34977,37.702655,-121.898005,11,0.2237
34977,37.702689,-121.897965,12,0.2294
34977,37.702740,-121.897947,13,0.2355
34977,37.703178,-121.897344,14,0.3077
34977,37.703238,-121.897282,15,0.3163
34977,37.703325,-121.897250,16,0.3267
34977,37.703526,-121.897206,17,0.3491
34977,37.703630,-121.897195,18,0.3611
34977,37.703744,-121.897190,19,0.3731
34977,37.703869,-121.897206,20,0.3871
34977,37.703961,-121.897223,21,0.3983
34977,37.704063,-121.897222,22,0.4093
34977,37.704131,-121.897222,23,0.4173
34977,37.704233,-121.897224,24,0.4283
34977,37.704333,-121.897225,25,0.4403
34977,37.704475,-121.897222,26,0.4553
34977,37.704805,-121.897216,27,0.4923
34977,37.705534,-121.897211,28,0.5743
34977,37.706109,-121.897206,29,0.6394
34977,37.706122,-121.897081,30,0.6504
34977,37.706170,-121.896783,31,0.6769
34977,37.706200,-121.896569,32,0.6953
34977,37.706220,-121.896368,33,0.7134
34977,37.706235,-121.896211,34,0.7266
34977,37.706249,-121.896049,35,0.7416
34977,37.706253,-121.895951,36,0.7497
34977,37.706256,-121.895851,37,0.7587
34977,37.706257,-121.895698,38,0.7717
