stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
3,14024,"Niles @ FoodMax",35.375919,-118.934845,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=3"
4,14095,"Niles & Fairfax",35.375955,-118.930548,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=4"
5,21024,"Niles & Greenwood",35.376073,-118.926102,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=5"
6,21030,"Niles & Brentwood",35.376090,-118.923293,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=6"
7,21180,"Niles & Park",35.376136,-118.918201,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=7"
8,21198,"Niles & Morning Drive",35.376162,-118.914735,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=8"
9,11563,"Morning Drive & Rosewood",35.372283,-118.914307,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=9"
10,21817,"Mt Vernon & University",35.405863,-118.967689,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=10"
11,11247,"University & Mt Vernon",35.405031,-118.968239,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=11"
12,20511,"Pioneer & Park",35.368817,-118.919318,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=12"
13,20507,"Eucalyptus & Denison",35.365289,-118.922350,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=13"
14,21409,"Eucalyptus & Ansol",35.365270,-118.926976,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=14"
15,20524,"Eucalyptus @ Pioneer Pines Mobile Home Park",35.365243,-118.929161,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=15"
16,20595,"Eucalyptus & Fairfax",35.365233,-118.931614,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=16"
17,21413,"Fairfax & Pioneer",35.368052,-118.931856,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=17"
18,11425,"Niles @ FoodMax",35.376163,-118.934257,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=18"
19,11384,"University & Occidental",35.404999,-118.971024,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=19"
20,13126,"Niles & McCurdy",35.376136,-118.938419,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=20"
21,11418,"Niles & Pesante",35.376062,-118.943414,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=21"
22,13573,"Niles & Tate",35.376055,-118.947801,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=22"
23,21133,"Niles & Oswell",35.376032,-118.950198,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=23"
24,14325,"Niles @ Hillcrest Center",35.376012,-118.953056,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=24"
25,14360,"Niles & Catalpa",35.375918,-118.959369,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=25"
26,14302,"Niles & Camino Primavera",35.375907,-118.963412,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=26"
28,11321,"Niles & Haley",35.379426,-118.979890,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=28"
29,11332,"Niles & Robinson",35.380156,-118.982948,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=29"
30,13093,"Niles & Gage",35.380684,-118.985152,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=30"
31,11345,"University & Haley",35.404956,-118.975521,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=31"
32,14801,"21st & N",35.378206,-119.014477,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=32"
33,15582,"Truxtun & H",35.373460,-119.021824,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=33"
34,21886,"Haley & Radcliffe",35.407528,-118.976335,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=34"
35,15595,"Truxtun & D",35.373476,-119.025645,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=35"
36,15576,"Truxtun & B",35.373482,-119.028493,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=36"
37,15530,"Truxtun & Pine",35.373480,-119.031465,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=37"
38,15569,"Truxtun & Myrtle",35.373512,-119.034993,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=38"
39,10527,"Oak & California",35.367255,-119.038895,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=39"
40,10591,"Oak & Chester Lane",35.364406,-119.038922,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=40"
41,10504,"Wible & Belle Terrace",35.346227,-119.039117,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=41"
42,20582,"Pioneer @ Pioneer Drive School",35.368867,-118.934751,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=42"
