route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
001,1,Asilomar-Monterey,,3,https://www.mst.org/wp-content/media/1.pdf,0D96D4,ffffff
002,2,Pacific Grove - Carmel,,3,https://www.mst.org/wp-content/media/2.pdf,0D96D4,ffffff
003,3,CHOMP-Monterey,,3,https://www.mst.org/wp-content/media/3.pdf,0D96D4,ffffff
004,4,"Carmel - Sand City",,3,https://www.mst.org/wp-content/media/4.pdf,0D96D4,ffffff
007,7,Del Rey Oaks-Monterey,,3,https://www.mst.org/wp-content/media/7.pdf,0D96D4,ffffff
008,8,Ryan Ranch -Sand City,,3,https://www.mst.org/wp-content/media/8.pdf,0D96D4,ffffff
010,10,Monterey - Marina,,3,https://www.mst.org/wp-content/media/10.pdf,0D96D4,ffffff
011,11,Carmel-Sand City,,3,https://www.mst.org/wp-content/media/11.pdf,0D96D4,ffffff
012,12,Monterey-The Dunes,,3,https://www.mst.org/wp-content/media/12.pdf,0D96D4,ffffff
014,14,Monterey - NPS via La Mesa,,3,https://www.mst.org/wp-content/media/14.pdf,0D96D4,ffffff
016,16,Dunes - Marina,,3,https://www.mst.org/wp-content/media/16.pdf,0D96D4,ffffff
018,18,Monterey - Dunes via CSUMB,,3,https://www.mst.org/wp-content/media/18.pdf,0D96D4,ffffff
019,19,CSUMB-Monterey/DMC,,3,https://www.mst.org/wp-content/media/19.pdf,0D96D4,ffffff
020,20,Monterey - Salinas,,3,https://www.mst.org/wp-content/media/20.pdf,0D96D4,ffffff
021,21,Pebble Beach-Salinas Express,,3,https://www.mst.org/wp-content/media/21.pdf,0D96D4,ffffff
022,22,Big Sur,,3,https://www.mst.org/wp-content/media/22.pdf,0D96D4,ffffff
023,23,Salinas - King City,,3,https://www.mst.org/wp-content/media/23.pdf,0D96D4,ffffff
024,24,Carmel Valley Grapevine Express,,3,https://www.mst.org/wp-content/media/24.pdf,0D96D4,ffffff
025,25,Salinas - CSUMB,,3,https://www.mst.org/wp-content/media/25.pdf,0D96D4,ffffff
026,26,CSUMB - East Campus,,3,https://www.mst.org/wp-content/media/26.pdf,0D96D4,ffffff
027,27,Watsonville - Marina,,3,https://www.mst.org/wp-content/media/27.pdf,0D96D4,ffffff
028,28,Watsonville  - Salinas via Castroville,,3,https://www.mst.org/wp-content/media/28.pdf,0D96D4,ffffff
029,29,Watsonville - Salinas via Prunedale,,3,https://www.mst.org/wp-content/media/29.pdf,0D96D4,ffffff
041,41,Salinas - Alisal - Northridge,,3,https://www.mst.org/wp-content/media/41.pdf,0D96D4,ffffff
042,42,East Salinas-Westridge,,3,https://www.mst.org/wp-content/media/42.pdf,0D96D4,ffffff
043,43,South Salinas,,3,https://www.mst.org/wp-content/media/43.pdf,0D96D4,ffffff
044,44,Northridge via Westridge,,3,https://www.mst.org/wp-content/media/44.pdf,0D96D4,ffffff
