fare_id,route_id,origin_id,destination_id
CST2,398,C0,C5
CST2,398,C1,C5
CST2,398,C5,C4
CST2,398,C2,C5
CST2,398,C3,C5
CST2,398,C4,C5
CST2,398,C5,C0
CST2,398,C6,C5
CST2,398,C7,C5
CST2,398,C5,C6
CST2,398,C5,C2
CST2,398,C5,C1
CST2,398,C5,C7
CST2,398,C5,C3
CST1,398,C0,C2
CST1,398,C1,C3
CST1,398,C1,C2
CST1,398,C0,C1
CST1,398,C2,C4
CST1,398,C4,C0
CST1,398,C4,C3
CST1,398,C3,C4
CST1,398,C1,C0
CST1,398,C2,C3
CST1,398,C0,C4
CST1,398,C1,C4
CST1,398,C3,C2
CST1,398,C0,C3
CST1,398,C3,C0
CST1,398,C6,C7
CST1,398,C4,C1
CST1,398,C2,C1
CST1,398,C3,C1
CST1,398,C2,C0
CST1,398,C7,C6
CST1,398,C4,C2
CST3,398,C2,C6
CST3,398,C1,C7
CST3,398,C2,C7
CST3,398,C0,C6
CST3,398,C3,C7
CST3,398,C6,C2
CST3,398,C6,C1
CST3,398,C7,C0
CST3,398,C7,C3
CST3,398,C7,C4
CST3,398,C0,C7
CST3,398,C1,C6
CST3,398,C7,C1
CST3,398,C4,C6
CST3,398,C4,C7
CST3,398,C6,C0
CST3,398,C6,C4
CST3,398,C7,C2
CST3,398,C6,C3
CST3,398,C3,C6
DAYPASS_1200,398,,
BRZE,301,,
BRZE,302,,
BRZE,303,,
BRZE,304,,
BRZE,305,,
BRZE,306,,
BRZE,308,,
BRZE,309,,
BRZE,311,,
BRZE,313,,
BRZE,315,,
BRZE,318,,
BRZE,323,,
BRZE,325,,
BRZE,332,,
BRZE,334,,
BRZE,347,,
BRZE,350,,
BRZE,351,,
BRZE,352,,
BRZE,353,,
BRZE,354,,
BRZE,355,,
BRZE,356,,
BRZE,357,,
BRZE,358,,
BRZE,359,,
BRZE,388,,
FLEX,392,,
FLEX,395,,
BRZE,444,,
BRZE,445,,
FLEX,371,,
DAYPASS_500,301,,
DAYPASS_500,302,,
DAYPASS_500,303,,
DAYPASS_500,304,,
DAYPASS_500,305,,
DAYPASS_500,306,,
DAYPASS_500,308,,
DAYPASS_500,309,,
DAYPASS_500,311,,
DAYPASS_500,313,,
DAYPASS_500,315,,
DAYPASS_500,318,,
DAYPASS_500,323,,
DAYPASS_500,325,,
DAYPASS_500,332,,
DAYPASS_500,334,,
DAYPASS_500,347,,
DAYPASS_500,350,,
DAYPASS_500,351,,
DAYPASS_500,352,,
DAYPASS_500,353,,
DAYPASS_500,354,,
DAYPASS_500,355,,
DAYPASS_500,356,,
DAYPASS_500,357,,
DAYPASS_500,358,,
DAYPASS_500,359,,
DAYPASS_500,388,,
DAYPASS_500,444,,
DAYPASS_500,445,,
DAYPASS_1200,301,,
DAYPASS_1200,302,,
DAYPASS_1200,303,,
DAYPASS_1200,304,,
DAYPASS_1200,305,,
DAYPASS_1200,306,,
DAYPASS_1200,308,,
DAYPASS_1200,309,,
DAYPASS_1200,311,,
DAYPASS_1200,313,,
DAYPASS_1200,315,,
DAYPASS_1200,318,,
DAYPASS_1200,323,,
DAYPASS_1200,325,,
DAYPASS_1200,332,,
DAYPASS_1200,334,,
DAYPASS_1200,347,,
DAYPASS_1200,350,,
DAYPASS_1200,351,,
DAYPASS_1200,352,,
DAYPASS_1200,353,,
DAYPASS_1200,354,,
DAYPASS_1200,355,,
DAYPASS_1200,356,,
DAYPASS_1200,357,,
DAYPASS_1200,358,,
DAYPASS_1200,359,,
DAYPASS_1200,371,,
DAYPASS_1200,388,,
DAYPASS_1200,392,,
DAYPASS_1200,395,,
DAYPASS_1200,444,,
DAYPASS_1200,445,,
SPRT,399,,
DAYPASS_500,399,,
DAYPASS_1200,399,,
