shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_110930,38.236351,-122.63457,1,0
p_110930,38.236334,-122.634586,2,2.35011981
p_110930,38.235786,-122.635087,3,77.34371574
p_110930,38.236342,-122.636049,4,181.75868863
p_110930,38.236973,-122.63714,5,300.20369187
p_110930,38.236804,-122.637621,6,346.30418373
p_110930,38.236663,-122.638101,7,391.14778716
p_110930,38.236551,-122.638462,8,425.11036839
p_110930,38.236416,-122.638896,9,465.95509948
p_110930,38.236367,-122.639053,10,480.73741597
p_110930,38.236332,-122.639165,11,491.28458998
p_110930,38.236187,-122.6396,12,532.63022055
p_110930,38.236177,-122.639629,13,535.40121157
p_110930,38.236016,-122.640118,14,581.79352036
p_110930,38.235914,-122.640487,15,616.0261213
p_110930,38.235907,-122.640523,16,619.27229768
p_110930,38.235901,-122.640551,17,621.81256815
p_110930,38.235775,-122.641034,18,666.35232541
p_110930,38.235748,-122.641168,19,678.46085943
p_110930,38.235722,-122.641293,20,689.77882408
p_110930,38.235623,-122.641616,21,720.11780475
p_110930,38.235499,-122.641987,22,755.39510551
p_110930,38.235468,-122.642069,23,763.35633456
p_110930,38.235431,-122.642169,24,773.02687396
p_110930,38.235311,-122.642518,25,806.35931364
p_110930,38.235191,-122.642884,26,841.06126058
p_110930,38.235163,-122.64297,27,849.20692026
p_110930,38.235088,-122.642931,28,858.20500888
p_110930,38.235066,-122.642918,29,860.89924145
p_110930,38.234411,-122.642585,30,939.23252575
p_110930,38.234073,-122.642407,31,979.85880369
p_110930,38.234061301842,-122.6424390195,32,982.94831961
p_110930,38.23346893919,-122.64210701272,33,1054.83981779
p_110930,38.232387127477,-122.64154109193,34,1184.74271928
p_110930,38.232295876722,-122.64145975149,35,1197.12472072
p_110930,38.232250977632,-122.64132744907,36,1209.73506333
p_110930,38.231792,-122.640182,37,1322.22343183
p_110930,38.232711,-122.639602,38,1436.17423697
p_110930,38.232414,-122.638832,39,1511.22004308
p_110930,38.232267,-122.638451,40,1548.35527866
p_110930,38.232734,-122.63816,41,1606.11567208
p_110930,38.232846,-122.63809,42,1619.97637594
p_110930,38.232928,-122.638039,43,1630.11472935
p_110930,38.232962,-122.638129,44,1638.85174018
p_110930,38.233333,-122.639107,45,1733.86735517
p_110930,38.233368,-122.639199,46,1742.81023569
p_110930,38.233403,-122.639289,47,1751.59572224
p_110930,38.233603,-122.639802,48,1801.69749862
p_110930,38.233643,-122.639905,49,1811.7492482
p_110930,38.23376,-122.640099,50,1833.13065798
p_110930,38.233816,-122.640147,51,1840.63403178
p_110930,38.233982,-122.640232,52,1860.50627772
p_110930,38.234065,-122.640274,53,1870.42608772
p_110930,38.234122,-122.640304,54,1877.27667063
p_110930,38.23468,-122.640595,55,1944.25048093
p_110930,38.234767,-122.640644,56,1954.81758151
p_110930,38.234794,-122.640659,57,1958.08971402
p_110930,38.234919,-122.640727,58,1973.1881613
p_110930,38.235629,-122.641105,59,2058.66537774
p_110930,38.235748,-122.641168,60,2072.9798271
p_110930,38.235889,-122.641258,61,2090.50253048
p_110930,38.236253,-122.641484,62,2135.49153089
p_110930,38.236531,-122.641679,63,2170.75755878
p_110930,38.236531432809,-122.64168800364,64,2171.54728653
p_110930,38.237346,-122.642227,65,2273.53815612
p_110930,38.238517,-122.642845,66,2414.33115793
p_110930,38.239025,-122.643035,67,2473.12189629
p_110930,38.239513,-122.643165,68,2528.4730772
p_110930,38.239574,-122.64318,69,2535.37030465
p_110930,38.239761,-122.643234,70,2556.65903327
p_110930,38.240016,-122.643295,71,2585.46365712
p_110930,38.240715,-122.643493,72,2664.96604142
p_110930,38.241966,-122.643875,73,2807.79843236
p_110930,38.242946,-122.644149,74,2919.19266722
p_110930,38.243007,-122.644172,75,2926.25675713
p_110930,38.24319,-122.644233,76,2947.2601401
p_110930,38.244995,-122.64479,77,3153.46505594
p_110930,38.246589,-122.645225,78,3334.45209516
p_110930,38.246887,-122.645309,79,3368.33786528
p_110930,38.247882,-122.645584,80,3481.37698182
p_110930,38.248874,-122.645996,81,3597.24572174
p_110930,38.249065,-122.646018,82,3618.53423103
p_110930,38.249492,-122.646301,83,3672.01494335
p_110930,38.251415,-122.647682,84,3917.32265164
p_110930,38.252365,-122.648574,85,4048.53278034
p_110930,38.253665,-122.649879,86,4232.57257054
p_110930,38.254726,-122.650894,87,4380.09584247
p_110930,38.254882,-122.651062,88,4402.81318555
p_110930,38.255146,-122.65142,89,4445.71558315
p_110930,38.255256,-122.651535,90,4461.5397582
p_110930,38.255455,-122.651809,91,4494.14483805
p_110930,38.256729,-122.653587,92,4704.42190175
p_110930,38.257038,-122.654052,93,4757.64667005
p_110930,38.257457,-122.654609,94,4825.02491519
p_110930,38.257369,-122.654777,95,4842.67788844
p_110930,38.256816,-122.653991,96,4934.87692204
p_110930,38.256607,-122.653747,97,4966.40934608
p_110931,38.236351,-122.63457,1,0
p_110931,38.236334,-122.634586,2,2.35011981
p_110931,38.235786,-122.635087,3,77.34371574
p_110931,38.236973,-122.63714,4,300.20368848
p_110931,38.236804,-122.637621,5,346.30418034
p_110931,38.236663,-122.638101,6,391.14778377
p_110931,38.236551,-122.638462,7,425.110365
p_110931,38.236416,-122.638896,8,465.95509609
p_110931,38.236367,-122.639053,9,480.73741258
p_110931,38.236332,-122.639165,10,491.28458659
p_110931,38.236187,-122.6396,11,532.63021716
p_110931,38.236177,-122.639629,12,535.40120818
p_110931,38.236016,-122.640118,13,581.79351697
p_110931,38.235914,-122.640487,14,616.02611791
p_110931,38.235907,-122.640523,15,619.27229429
p_110931,38.235901,-122.640551,16,621.81256476
p_110931,38.235775,-122.641034,17,666.35232202
p_110931,38.235748,-122.641168,18,678.46085604
p_110931,38.235889,-122.641258,19,695.98355942
p_110931,38.236253,-122.641484,20,740.97255983
p_110931,38.236518,-122.64167,21,774.59448985
p_110931,38.236531432809,-122.64168800364,22,776.76421038
p_110931,38.237346,-122.642227,23,878.75507997
p_110931,38.238517,-122.642845,24,1019.54808178
p_110931,38.239025,-122.643035,25,1078.33882014
p_110931,38.239513,-122.643165,26,1133.69000105
p_110931,38.239574,-122.64318,27,1140.5872285
p_110931,38.239761,-122.643234,28,1161.87595712
p_110931,38.240016,-122.643295,29,1190.68058097
p_110931,38.240715,-122.643493,30,1270.18296527
p_110931,38.241966,-122.643875,31,1413.01535621
