"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"Ventura County Line","1141","294100121","L. A. Union Station","100","1"
"Ventura County Line","1141","294100122","L. A. Union Station","102","1"
"Ventura County Line","1141","294100123","L. A. Union Station","104","1"
"Ventura County Line","1141","294100124","L. A. Union Station","106","1"
"Ventura County Line","1141","294100125","L. A. Union Station","108","1"
"Ventura County Line","1141","294100126","L. A. Union Station","A768","1"
"Ventura County Line","1141","294100127","L. A. Union Station","110","1"
"Ventura County Line","1141","294100128","L. A. Union Station","112","1"
"Ventura County Line","1141","294100131","L. A. Union Station","116","1"
"Ventura County Line","1141","294100132","L. A. Union Station","118","1"
"Ventura County Line","1141","294101013","L. A. Union Station","150","1"
"Ventura County Line","1141","294200133","East Ventura","101","0"
"Ventura County Line","1141","294200134","East Ventura","103","0"
"Ventura County Line","1141","294200137","East Ventura","107","0"
"Ventura County Line","1141","294200138","East Ventura","109","0"
"Ventura County Line","1141","294200141","East Ventura","115","0"
"Ventura County Line","1141","294200142","East Ventura","117","0"
"Ventura County Line","1141","294200143","East Ventura","119","0"
"Ventura County Line","1141","294200942","East Ventura","121","0"
"Ventura County Line","1141","294200943","East Ventura","123","0"
"Ventura County Line","1141","294201021","East Ventura","155","0"
"Ventura County Line","1141","294201082","East Ventura","A761","0"
"Ventura County Line","1141","294900321","L. A. Union Station","900","1"
"Ventura County Line","1141","294900322","L. A. Union Station","902","1"
"Ventura County Line","1141","294900361","L. A. Union Station","904","1"
"Ventura County Line","1141","294900362","L. A. Union Station","906","1"
"Ventura County Line","1141","294900364","L. A. Union Station","910","1"
"Ventura County Line","1141","295000381","Burbank-Bob Hope Airport","901","0"
"Ventura County Line","1141","295000382","Burbank-Bob Hope Airport","903","0"
"Ventura County Line","1141","295000383","Burbank-Bob Hope Airport","905","0"
"Ventura County Line","1141","295000384","Burbank-Bob Hope Airport","907","0"
"Ventura County Line","1141","295000385","Burbank-Bob Hope Airport","909","0"
"Ventura County Line","1141","295000941","Burbank-Bob Hope Airport","911","0"
"Antelope Valley Line","1142","100000001","Newhall","Bus-2","1"
"Antelope Valley Line","1142","100000002","Newhall","Bus-1","1"
"Antelope Valley Line","1142","100000003","Newhall","Bus-3","1"
"Antelope Valley Line","1142","100000004","Newhall","Bus-4","1"
"Antelope Valley Line","1142","100000005","Palmdale","Bus-5","0"
"Antelope Valley Line","1142","100000007","Palmdale","Bus-7","0"
"Antelope Valley Line","1142","100000008","Palmdale","Bus-8","0"
"Antelope Valley Line","1142","100000009","Palmdale","Bus-9","0"
"Antelope Valley Line","1142","200000023","L. A. Union Station","224","1"
"Antelope Valley Line","1142","200000024","Lancaster","225","0"
"Antelope Valley Line","1142","200000025","L. A. Union Station","226","1"
"Antelope Valley Line","1142","200000026","Lancaster","227","0"
"Antelope Valley Line","1142","294300161","L. A. Union Station","200","1"
"Antelope Valley Line","1142","294300162","L. A. Union Station","202","1"
"Antelope Valley Line","1142","294300163","L. A. Union Station","204","1"
"Antelope Valley Line","1142","294300164","L. A. Union Station","206","1"
"Antelope Valley Line","1142","294300165","L. A. Union Station","208","1"
"Antelope Valley Line","1142","294300166","L. A. Union Station","210","1"
"Antelope Valley Line","1142","294300167","L. A. Union Station","212","1"
"Antelope Valley Line","1142","294300168","L. A. Union Station","214","1"
"Antelope Valley Line","1142","294300169","L. A. Union Station","216","1"
"Antelope Valley Line","1142","294300170","L. A. Union Station","218","1"
"Antelope Valley Line","1142","294300171","L. A. Union Station","220","1"
"Antelope Valley Line","1142","294300172","L. A. Union Station","222","1"
"Antelope Valley Line","1142","294301001","L. A. Union Station","282","1"
"Antelope Valley Line","1142","294400173","Lancaster","201","0"
"Antelope Valley Line","1142","294400174","Lancaster","203","0"
"Antelope Valley Line","1142","294400175","Lancaster","205","0"
"Antelope Valley Line","1142","294400181","Via Princessa","207","0"
"Antelope Valley Line","1142","294400182","Lancaster","209","0"
"Antelope Valley Line","1142","294400183","Via Princessa","211","0"
"Antelope Valley Line","1142","294400184","Lancaster","213","0"
"Antelope Valley Line","1142","294400185","Lancaster","215","0"
"Antelope Valley Line","1142","294400186","Santa Clarita","217","0"
"Antelope Valley Line","1142","294400187","Lancaster","219","0"
"Antelope Valley Line","1142","294400188","Lancaster","221","0"
"Antelope Valley Line","1142","294400189","Lancaster","223","0"
"Antelope Valley Line","1142","294401002","Lancaster","285","0"
"Antelope Valley Line","1143","294500201","L. A. Union Station","260","1"
"Antelope Valley Line","1143","294500203","L. A. Union Station","262","1"
"Antelope Valley Line","1143","294500721","L. A. Union Station","264","1"
"Antelope Valley Line","1143","294500741","L. A. Union Station","266","1"
"Antelope Valley Line","1143","294500743","L. A. Union Station","268","1"
"Antelope Valley Line","1143","294500781","L. A. Union Station","270","1"
"Antelope Valley Line","1143","294600204","Lancaster","263","0"
"Antelope Valley Line","1143","294600206","Lancaster","265","0"
"Antelope Valley Line","1143","294600701","Lancaster","261","0"
"Antelope Valley Line","1143","294600742","Lancaster","267","0"
"Antelope Valley Line","1143","294600744","Lancaster","269","0"
"Antelope Valley Line","1143","294600746","Lancaster","271","0"
"San Bernardino Line","1146","200000027","San Bernardino","306","0"
"San Bernardino Line","1146","200000028","L. A. Union Station","323","1"
"San Bernardino Line","1146","295100222","L. A. Union Station","301","1"
"San Bernardino Line","1146","295100223","L. A. Union Station","303","1"
"San Bernardino Line","1146","295100226","L. A. Union Station","305","1"
"San Bernardino Line","1146","295100228","L. A. Union Station","327","1"
"San Bernardino Line","1146","295100230","L. A. Union Station","309","1"
"San Bernardino Line","1146","295100232","L. A. Union Station","311","1"
"San Bernardino Line","1146","295100234","L. A. Union Station","313","1"
"San Bernardino Line","1146","295100236","L. A. Union Station","315","1"
"San Bernardino Line","1146","295100238","L. A. Union Station","317","1"
