shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4698,36.331416,-119.28844,0,0
4698,36.3314113215946,-119.287875061169,1,50.7747608272976
4698,36.3311448040239,-119.287872014542,2,80.3788298973643
4698,36.331125,-119.29006,3,277.030033616208
4698,36.331117,-119.291175,4,377.241287644216
4698,36.331117,-119.291176,5,377.331159643171
4698,36.331156,-119.29152,6,408.549119161981
4698,36.331156,-119.29152,7,408.549119161981
4698,36.331141,-119.292635,8,508.77014005849
4698,36.33113,-119.293402,9,577.712680184115
4698,36.331121,-119.294517,10,677.924728325201
4698,36.331119,-119.294783,11,701.831649990994
4698,36.331108,-119.295672,12,781.73696345954
4698,36.331091,-119.296562,13,861.745053754813
4698,36.33111,-119.297677,14,961.974134836274
4698,36.331119,-119.298196,15,1008.62818239225
4698,36.331091,-119.29881,16,1063.8968711154
4698,36.331078,-119.299893,17,1161.2384107131
4698,36.331089,-119.300873,18,1249.32088476292
4698,36.331068,-119.301988,19,1349.55459996973
4698,36.331065,-119.302163,20,1365.2856133088
4698,36.331068,-119.302995,21,1440.05928001797
4698,36.331047,-119.30411,22,1540.29286603908
4698,36.331043,-119.304351,23,1561.95638609986
4698,36.331046,-119.305466,24,1662.16330011146
4698,36.331047,-119.305765,25,1689.03499632673
4698,36.331027,-119.30688,26,1789.26588178814
4698,36.331022,-119.307146,27,1813.17803341661
4698,36.331031,-119.308261,28,1913.38919711701
4698,36.331035,-119.308814,29,1963.08981770489
4698,36.33027,-119.308809,30,2048.06023981456
4698,36.330205,-119.308852,31,2056.24907441701
4698,36.330144,-119.308932,32,2066.12822223515
4698,36.33015,-119.309507,33,2117.80887573147
4698,36.33015,-119.309507,34,2117.80887573147
4698,36.330139,-119.310622,35,2218.02346060455
4698,36.330136,-119.310949,36,2247.41343871819
4698,36.330105,-119.311293,37,2278.52049618032
4698,36.330019,-119.312403,38,2378.73452388333
4698,36.330002,-119.312623,39,2398.59629066375
4698,36.329976,-119.313004,40,2432.95903442219
4698,36.329967,-119.313278,41,2457.60420783201
4698,36.329924,-119.313492,42,2477.42093619564
4698,36.329851,-119.313712,43,2498.79070739231
4698,36.329704,-119.313916,44,2523.34095136956
4698,36.329552,-119.314045,45,2543.82107525466
4698,36.329267,-119.314136,46,2576.5155706226
4698,36.328683,-119.31421,47,2641.72075391869
4698,36.328683,-119.31421,48,2641.72075391869
4698,36.327785,-119.314175,49,2741.51158111636
4698,36.327331,-119.314157,50,2791.96349168046
4698,36.326433,-119.314122,51,2891.75430655892
4698,36.32622,-119.314114,52,2915.42322488134
4698,36.325322,-119.314145,53,3015.20334155104
4698,36.325111,-119.314152,54,3038.64763485827
4698,36.324213,-119.31412,55,3138.43028762579
4698,36.324042,-119.314114,56,3157.4309744882
4698,36.323144,-119.314093,57,3257.19001438582
4698,36.322685,-119.314082,58,3308.18089115336
4698,36.321787,-119.314109,59,3407.95157479936
4698,36.321672,-119.314113,60,3420.7297216833
4698,36.320775,-119.314061,61,3520.46937389438
4698,36.320671,-119.314055,62,3532.03326938942
4698,36.319776,-119.314148,63,3631.79203302298
4698,36.319615,-119.314165,64,3649.73951597104
4698,36.318821,-119.314072,65,3738.32461545483
4698,36.317923,-119.314082,66,3838.06978098954
4698,36.317387,-119.314089,67,3897.60677230254
4698,36.316634,-119.314039,68,3981.36335104199
4698,36.315888,-119.314093,69,4064.36381301135
4698,36.314991,-119.314045,70,4164.08720288407
